case,reduce_frac,train_n_class1,train_n_class2,distribution,class1_errors,class1_error_rate,class2_errors,class2_error_rate,total_errors,min_error_rate,error_upper_bound
1,,60000,140000,true,1640,0.027333333333333334,1388,0.009914285714285714,3028,0.01514,0.04829999247443921
1,,60000,140000,estimated,1649,0.027483333333333332,1384,0.009885714285714286,3033,0.015165,0.04886914536265583
1,0.0001,6,14,true,1640,0.027333333333333334,1388,0.009914285714285714,3028,0.01514,0.04829999247443921
1,0.0001,6,14,estimated,2880,0.048,824,0.005885714285714286,3704,0.01852,0.010227021621902218
1,0.001,60,140,true,1640,0.027333333333333334,1388,0.009914285714285714,3028,0.01514,0.04829999247443921
1,0.001,60,140,estimated,1341,0.02235,1716,0.012257142857142857,3057,0.015285,0.04621422213403995
1,0.01,600,1400,true,1640,0.027333333333333334,1388,0.009914285714285714,3028,0.01514,0.04829999247443921
1,0.01,600,1400,estimated,1514,0.025233333333333333,1531,0.010935714285714286,3045,0.015225,0.052549501489535695
1,0.1,6000,14000,true,1640,0.027333333333333334,1388,0.009914285714285714,3028,0.01514,0.04829999247443921
1,0.1,6000,14000,estimated,1582,0.026366666666666667,1445,0.010321428571428572,3027,0.015135,0.04911817843105296
3,,60000,140000,true,1640,0.027333333333333334,1388,0.009914285714285714,3028,0.01514,0.04829999247443921
3,,60000,140000,estimated,1629,0.02715,1408,0.010057142857142857,3037,0.015185,0.048387450419343545
3,0.0001,6,14,true,1640,0.027333333333333334,1388,0.009914285714285714,3028,0.01514,0.04829999247443921
3,0.0001,6,14,estimated,2550,0.0425,1606,0.011471428571428572,4156,0.02078,0.03259948292300967
3,0.001,60,140,true,1640,0.027333333333333334,1388,0.009914285714285714,3028,0.01514,0.04829999247443921
3,0.001,60,140,estimated,1542,0.0257,1489,0.010635714285714287,3031,0.015155,0.0496485967285103
3,0.01,600,1400,true,1640,0.027333333333333334,1388,0.009914285714285714,3028,0.01514,0.04829999247443921
3,0.01,600,1400,estimated,1529,0.025483333333333334,1524,0.010885714285714285,3053,0.015265,0.04493830387626525
3,0.1,6000,14000,true,1640,0.027333333333333334,1388,0.009914285714285714,3028,0.01514,0.04829999247443921
3,0.1,6000,14000,estimated,1598,0.026633333333333332,1430,0.010214285714285714,3028,0.01514,0.04651327706014536
